STREET NUMBER,STREET DIRECTION,STREET NAME,USGS Quad Number,Name,Factual Date,Estimated Date,Desc1_Stories,Desc2_Material,Desc3_Type,Designation_RTHL,Designation_HABS,Designation_NR_Individual,Designation_NR_Historic_Dis,Designation_Thematic,Other Notes,Type of Table,Recorder,Record_Date
304,East,44th Street,3097-242,,1892,,2 story,stone,residence,,,,,,,the 1984 Cultural Resources Survey,HHM,Jan-Mar 84
905,East,44th Street,3097-242,,,1930,1 story,frame,residence,,,,,,,the 1984 Cultural Resources Survey,HHM,Jan-Mar 84
906,East,44th Street,3097-242,,,1930,1 story,frame,residence,,,,,,,the 1984 Cultural Resources Survey,HHM,Jan-Mar 84
907,East,44th Street,3097-242,,,1925,1 story,frame,residence,,,,,,,the 1984 Cultural Resources Survey,HHM,Jan-Mar 84
700,East,44th Street,3097-242,,,1930,2 story,brick,residence,,,,,,,the 1984 Cultural Resources Survey,HHM,Jan-Mar 84
701,East,44th Street,3097-242,,,1935,1 story,frame,residence,,,,,,,the 1984 Cultural Resources Survey,HHM,Jan-Mar 84
711,East,44th Street,3097-242,,,1925,1 story,frame,residence,,,,,,,the 1984 Cultural Resources Survey,HHM,Jan-Mar 84
805,East,44th Street,3097-242,,,1925,1 story,frame,residence,,,,,,,the 1984 Cultural Resources Survey,HHM,Jan-Mar 84
806,East,44th Street,3097-242,,1936,,1 story,frame,residence,,,,,,,the 1984 Cultural Resources Survey,HHM,Jan-Mar 84
807,East,44th Street,3097-242,,,1925,1 story,frame,residence,,,,,,,the 1984 Cultural Resources Survey,HHM,Jan-Mar 84
905,East,44th Street,3097-242,,,1930,1 story,frame,residence,,,,,,,the 1984 Cultural Resources Survey,HHM,Jan-Mar 84
906,East,44th Street,3097-242,,,1930,1 story,frame,residence,,,,,,,the 1984 Cultural Resources Survey,HHM,Jan-Mar 84
907,East,44th Street,3097-242,,,1925,1 story,frame,residence,,,,,,,the 1984 Cultural Resources Survey,HHM,Jan-Mar 84
909,East,44th Street,3097-242,,,1925,1 story,frame,residence,,,,,,,the 1984 Cultural Resources Survey,HHM,Jan-Mar 84
910,East,44th Street,3097-242,,,1920,1 story,frame,residence,,,,,,,the 1984 Cultural Resources Survey,HHM,Jan-Mar 84
911,East,44th Street,3097-242,,,,,,,,,,,,,the 1984 Cultural Resources Survey,HHM,Jan-Mar 84
1000,East,44th Street,3097-242,,,1925,1 story,frame,residence,,,,,,,the 1984 Cultural Resources Survey,HHM,Jan-Mar 84
305,West,44th Street,3097-242,,,1925,1 story,frame,residence,,,,,,,the 1984 Cultural Resources Survey,HHM,Jan-Mar 84
306,West,44th Street,3097-242,,,1925,1 story,frame,residence,,,,,,,the 1984 Cultural Resources Survey,HHM,Jan-Mar 84
403,West,44th Street,3097-242,,,1910,1 story,stucco over frame,residence,,,,,,,the 1984 Cultural Resources Survey,HHM,Jan-Mar 84
505,West,44th Street,3097-242,,,1925,1 story,frame,residence,,,,,,,the 1984 Cultural Resources Survey,HHM,Jan-Mar 84
507,West,44th Street,3097-242,,,1910,1 story,frame,residence,,,,,,,the 1984 Cultural Resources Survey,HHM,Jan-Mar 84
302,East,45th Street,3097-242,,,1925,1 story,frame,residence,,,,,,,the 1984 Cultural Resources Survey,HHM,Jan-Mar 84
304,East,45th Street,3097-242,,,1925,1 story,frame,residence,,,,,,,the 1984 Cultural Resources Survey,HHM,Jan-Mar 84
305,East,45th Street,3097-242,,,1925,1 story,frame,residence,,,,,,,the 1984 Cultural Resources Survey,HHM,Jan-Mar 84
411,East,45th Street,3097-242,,,1935,1 story,frame,residence,,,,,,,the 1984 Cultural Resources Survey,HHM,Jan-Mar 84
700,East,45th Street,3097-242,,,1925,1 story,frame,residence,,,,,,,the 1984 Cultural Resources Survey,HHM,Jan-Mar 84
702,East,45th Street,3097-242,,,1925,1 story,frame,residence,,,,,,,the 1984 Cultural Resources Survey,HHM,Jan-Mar 84
709,East,45th Street,3097-242,,,1925,1 story,frame,residence,,,,,,,the 1984 Cultural Resources Survey,HHM,Jan-Mar 84
710,East,45th Street,3097-242,,,1925,1 story,frame,residence,,,,,,,the 1984 Cultural Resources Survey,HHM,Jan-Mar 84
713,East,45th Street,3097-242,,,1935,1 story,frame,residence,,,,,,,the 1984 Cultural Resources Survey,HHM,Jan-Mar 84
804,East,45th Street,3097-242,,,1930,1 story,stucco over frame,residence,,,,,,,the 1984 Cultural Resources Survey,HHM,Jan-Mar 84
807,East,45th Street,3097-242,,,1925,1 story,frame,residence,,,,,,,the 1984 Cultural Resources Survey,HHM,Jan-Mar 84
809,East,45th Street,3097-242,,,1930,1 story,frame,residence,,,,,,,the 1984 Cultural Resources Survey,HHM,Jan-Mar 84
206,West,45th Street,3097-242,,,1930,1 story,frame,residence,,,,,,,the 1984 Cultural Resources Survey,HHM,Jan-Mar 84
207,West,45th Street,3097-242,,,1925,1 story,frame,residence,,,,,,,the 1984 Cultural Resources Survey,HHM,Jan-Mar 84
305,West,45th Street,3097-242,,,1930,1 story,frame,residence,,,,,,,the 1984 Cultural Resources Survey,HHM,Jan-Mar 84
307,West,45th Street,3097-242,,,1930,1 story,frame,residence,,,,,,,the 1984 Cultural Resources Survey,HHM,Jan-Mar 84
407,West,45th Street,3097-242,,,1935,2 story,frame,residence,,,,,,,the 1984 Cultural Resources Survey,HHM,Jan-Mar 84
701,East,45-1/2 Street,3097-242,,,1930,1 story,frame,residence,,,,,,,the 1984 Cultural Resources Survey,HHM,Jan-Mar 84
703,East,45-1/2 Street,3097-242,,,1925,1 story,frame,residence,,,,,,,the 1984 Cultural Resources Survey,HHM,Jan-Mar 84
705,East,45-1/2 Street,3097-242,,,1925,1 story,frame,residence,,,,,,,the 1984 Cultural Resources Survey,HHM,Jan-Mar 84
707,East,45-1/2 Street,3097-242,,,1925,1 story,frame,residence,,,,,,,the 1984 Cultural Resources Survey,HHM,Jan-Mar 84
812,East,45-1/2 Street,3097-242,,,1925,1 1/2 story,frame,residence,,,,,,,the 1984 Cultural Resources Survey,HHM,Jan-Mar 84
104,East,46th Street,3097-242,,,1925,1 story,frame,residence,,,,,,,the 1984 Cultural Resources Survey,HHM,Jan-Mar 84
105,East,46th Street,3097-242,,,1925,1 story,stone,residence,,,,,,,the 1984 Cultural Resources Survey,HHM,Jan-Mar 84
200*,East,46th Street,3097-242,,,1935,1 story,frame,residence,,,,,,,the 1984 Cultural Resources Survey,HHM,Jan-Mar 84
509,East,46th Street,3097-242,,,1935,1 story,frame,residence,,,,,,,the 1984 Cultural Resources Survey,HHM,Jan-Mar 84
703,East,46th Street,3097-242,,,1930,1 story,frame,residence,,,,,,,the 1984 Cultural Resources Survey,HHM,Jan-Mar 84
805,East,46th Street,3097-242,,,1925,1 story,frame,residence,,,,,,,the 1984 Cultural Resources Survey,HHM,Jan-Mar 84
903,East,46th Street,3097-242,,,1925,1 story,frame,residence,,,,,,,the 1984 Cultural Resources Survey,HHM,Jan-Mar 84
916,East,46th Street,3097-242,,,1935,1 story,frame,residence,,,,,,,the 1984 Cultural Resources Survey,HHM,Jan-Mar 84
918*,East,46th Street,3097-242,,,1920,1 story,frame,residence,,,,,,,the 1984 Cultural Resources Survey,HHM,Jan-Mar 84
922,East,46th Street,3097-242,,,1925,1 story,frame,residence,,,,,,,the 1984 Cultural Resources Survey,HHM,Jan-Mar 84
204,West,46th Street,3097-242,,,1925,1 story,frame,residence,,,,,,,the 1984 Cultural Resources Survey,HHM,Jan-Mar 84
204,East,47th Street,3097-242,,,1925,1 story,frame,residence,,,,,,,the 1984 Cultural Resources Survey,HHM,Jan-Mar 84
207,East,47th Street,3097-242,,,1930,1 story,frame,residence,,,,,,,the 1984 Cultural Resources Survey,HHM,Jan-Mar 84
513*,East,47th Street,3097-242,,,1935,1 story,stone,residence,,,,,,,the 1984 Cultural Resources Survey,HHM,Jan-Mar 84
604,East,47th Street,3097-242,,,1915,2 story,frame,residence,,,,,,,the 1984 Cultural Resources Survey,HHM,Jan-Mar 84
709,East,47th Street,3097-242,,,1930,1 story,stone,residence,,,,,,,the 1984 Cultural Resources Survey,HHM,Jan-Mar 84
710,East,47th Street,3097-242,,,1915,2 story,brick/frame,residence,,,,,,,the 1984 Cultural Resources Survey,HHM,Jan-Mar 84
906,East,47th Street,3097-242,,,1930,1 story,masonry block,residence,,,,,,,the 1984 Cultural Resources Survey,HHM,Jan-Mar 84
1002,East,47th Street,3097-242,,,1925,1 story,frame,residence,,,,,,,the 1984 Cultural Resources Survey,HHM,Jan-Mar 84
1004,East,47th Street,3097-242,,,1925,1 story,frame,residence,,,,,,,the 1984 Cultural Resources Survey,HHM,Jan-Mar 84
1006,East,47th Street,3097-242,,,1925,1 story,frame,residence,,,,,,,the 1984 Cultural Resources Survey,HHM,Jan-Mar 84
108,East,48th Street,3097-242,,,1930,2 story,brick,residence,,,,,,,the 1984 Cultural Resources Survey,HHM,Jan-Mar 84
300,Blk East,48th Street,3097-242,,,1925,2 story,frame,residence,,,,,,,the 1984 Cultural Resources Survey,HHM,Jan-Mar 84
402,East,48th Street,3097-242,,,1925,2 story,stucco over frame,residence,,,,,,,the 1984 Cultural Resources Survey,HHM,Jan-Mar 84
502,East,48th Street,3097-242,,,1925,1 story,frame,residence,,,,,,,the 1984 Cultural Resources Survey,HHM,Jan-Mar 84
504,East,49th Street,3097-242,,,1925,1 story,frame,residence,,,,,,,the 1984 Cultural Resources Survey,HHM,Jan-Mar 84
512,East,49th Street,3097-242,,,1925,1 story,frame,residence,,,,,,,the 1984 Cultural Resources Survey,HHM,Jan-Mar 84
602,East,49th Street,3097-242,,,1925,1 story,frame,residence,,,,,,,the 1984 Cultural Resources Survey,HHM,Jan-Mar 84
604,East,49th Street,3097-242,,,1925,1 story,frame,residence,,,,,,,the 1984 Cultural Resources Survey,HHM,Jan-Mar 84
610,East,49th Street,3097-242,,,1920,1 story,frame,residence,,,,,,,the 1984 Cultural Resources Survey,HHM,Jan-Mar 84
612,East,49th Street,3097-242,,,1925,1 story,frame,residence,,,,,,,the 1984 Cultural Resources Survey,HHM,Jan-Mar 84
806,East,49th Street,3097-242,,,1925,1 story,frame,residence,,,,,,,the 1984 Cultural Resources Survey,HHM,Jan-Mar 84
814,East,49th Street,3097-242,,,1925,1 story,frame,residence,,,,,,,the 1984 Cultural Resources Survey,HHM,Jan-Mar 84
1010,East,49th Street,3097-242,,,1910,1 story,frame,residence,,,,,,,the 1984 Cultural Resources Survey,HHM,Jan-Mar 84
1013,East,49th Street,3097-242,,,1925,1 story,frame,residence,,,,,,,the 1984 Cultural Resources Survey,HHM,Jan-Mar 84
1015,East,49th Street,3097-242,,,1920,1 story,frame,residence,,,,,,,the 1984 Cultural Resources Survey,HHM,Jan-Mar 84
3906,,Bailey,3097-242,,,1915,1 story,frame,residence,,,,,,,the 1984 Cultural Resources Survey,HHM,Jan-Mar 84
4412,,Barrow Avenue,3097-242,,,1930,1 story,frame,residence,,,,,,,the 1984 Cultural Resources Survey,HHM,Jan-Mar 84
4414,,Barrow Avenue,3097-242,,,1925,1 story,frame,residence,,,,,,,the 1984 Cultural Resources Survey,HHM,Jan-Mar 84
4416,,Barrow Avenue,3097-242,,,1925,1 story,frame,residence,,,,,,,the 1984 Cultural Resources Survey,HHM,Jan-Mar 84
4417,,Barrow Avenue,3097-242,,,1930,1 story,frame,residence,,,,,,,the 1984 Cultural Resources Survey,HHM,Jan-Mar 84
4418,,Barrow Avenue,3097-242,,,1930,1 story,frame,residence,,,,,,,the 1984 Cultural Resources Survey,HHM,Jan-Mar 84
4419,,Barrow Avenue,3097-242,,,1930,1 story,frame,residence,,,,,,,the 1984 Cultural Resources Survey,HHM,Jan-Mar 84
